Province/State,Country/Region,Lat,Long,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,DEATH,TOTAL
Hubei,China,0.038288288288288,0.038288288288288,0.043715846994536,0.052562417871222,0.049149338374291,0.053408292340127,0.035171637591446,0.035171637591446,0.033040995308995,0.035136066138478,0.034810568992031,0.031314306164445,0.030616772666765,0.028720470080345,0.0279176201373,0.027948625180897,0.028012663807959,0.028782287822878,0.029394890486315,0.030698436712053,0.03200863154109,0.03200863154109,0.027175040451396,0.026780134543984,0.028373837757116,0.029149908906535,0.029822134057911,0.031143607535424,0.03270945172575,0.034335863681497,0.034215313906355,0.036608201735223,0.036608201735223,0.038810334904413,0.039561016268947,2563,64786
Guangdong,China,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000967117988395,0.000913242009132,0.000884173297966,0.000862812769629,0.000849617672048,0.000820344544709,0.001611603545528,0.001586042823156,0.001545595054096,0.001519756838906,0.003025718608169,0.003012048192771,0.003756574004508,0.003753753753754,0.003750937734434,0.003734129947722,0.004470938897168,0.004460966542751,0.005196733481811,7,1347
Henan,China,0,0,0,0,0.012048192771084,0.0078125,0.005952380952381,0.009708737864078,0.007194244604317,0.005681818181818,0.004739336492891,0.004056795131846,0.003533568904594,0.002962962962963,0.00261780104712,0.00235017626322,0.00328227571116,0.00407747196738,0.005808325266215,0.005591798695247,0.006334841628959,0.00704845814978,0.008554319931565,0.009290540540541,0.010726072607261,0.010560519902518,0.012841091492777,0.015115354017502,0.015055467511886,0.01501976284585,0.014996053670087,0.01496062992126,0.014948859166011,0.014948859166011,0.014948859166011,19,1271
Zhejiang,China,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000851063829787,0.000831255195345,0.000829875518672,0.000829875518672,0.000829875518672,0.000829875518672,1,1205
Hunan,China,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001245330012453,0.001193317422434,0.001137656427759,0.00109649122807,0.002114164904863,0.002066115702479,0.002024291497976,0.001998001998002,0.002988047808765,0.002982107355865,0.003972194637537,0.003968253968254,0.003960396039604,0.003956478733927,0.003948667324778,0.003937007874016,0.003937007874016,0.003937007874016,4,1016
Anhui,China,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001283697047497,0.003614457831325,0.004651162790698,0.004499437570304,0.005494505494506,0.006423982869379,0.006315789473684,0.006237006237006,0.006166495375128,0.006109979633401,0.006085192697769,0.006079027355623,0.006072874493927,0.006066734074823,0.006066734074823,0.006066734074823,0.006066734074823,6,989
,South Korea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009615384615385,0.009803921568627,0.004618937644342,0.009966777408638,0.009603841536615,0.010235414534289,10,977
Jiangxi,China,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001297016861219,0.001243781094527,0.001184834123223,0.001146788990826,0.001111111111111,0.001095290251917,0.001081081081081,0.001075268817204,0.0010718113612,0.001070663811563,0.001070663811563,0.001070663811563,0.001070663811563,0.001070663811563,0.001070663811563,0.001070663811563,1,934
Shandong,China,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002252252252252,0.002145922746781,0.002053388090349,0.004024144869215,0.003929273084479,0.003824091778203,0.003759398496241,0.003724394785847,0.00369685767098,0.005524861878453,0.005514705882353,0.007326007326007,0.005340453938585,0.005333333333333,0.005305039787798,0.006622516556291,0.007936507936508,6,756
Diamond Princess cruise ship,Others,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,691
Jiangsu,China,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,631
Chongqing,China,0,0,0,0,0,0,0,0,0,0,0.004048582995951,0.006666666666667,0.00593471810089,0.005464480874317,0.005141388174807,0.004866180048662,0.004694835680751,0.004672897196262,0.004273504273504,0.004115226337449,0.005940594059406,0.005791505791506,0.007561436672968,0.009310986964618,0.009191176470588,0.009074410163339,0.009041591320072,0.009009009009009,0.008928571428571,0.010582010582011,0.010489510489511,0.010471204188482,0.010434782608696,0.010416666666667,0.010416666666667,6,576
Sichuan,China,0,0,0,0,0,0,0,0.009259259259259,0.007042253521127,0.005649717514124,0.004830917874396,0.004329004329004,0.003937007874016,0.00354609929078,0.003322259136213,0.003115264797508,0.002906976744186,0.002747252747253,0.00259067357513,0.002469135802469,0.002398081534772,0.002293577981651,0.002217294900222,0.002159827213823,0.002127659574468,0.006237006237006,0.006060606060606,0.005905511811024,0.005836575875486,0.005769230769231,0.005714285714286,0.005703422053232,0.005703422053232,0.005692599620493,0.005671077504726,3,529
